date,twit_all,twit_all_pos,twit_all_neg,twit_all_neu,twit_trump,twit_trump_pos,twit_trump_neg,twit_trump_neu,twit_biden,twit_biden_pos,twit_biden_neg,twit_biden_neu,tb_twit_all,tb_twit_all_pos,tb_twit_all_neg,tb_twit_all_neu,tb_twit_trump,tb_twit_trump_pos,tb_twit_trump_neg,tb_twit_trump_neu,tb_twit_biden,tb_twit_biden_pos,tb_twit_biden_neg,tb_twit_biden_neu,twit_time,redd_all,redd_all_pos,redd_all_neg,redd_all_neu,redd_trump,redd_trump_pos,redd_trump_neg,redd_trump_neu,redd_biden,redd_biden_pos,redd_biden_neg,redd_biden_neu,tb_redd_all,tb_redd_all_pos,tb_redd_all_neg,tb_redd_all_neu,tb_redd_trump,tb_redd_trump_pos,tb_redd_trump_neg,tb_redd_trump_neu,tb_redd_biden,tb_redd_biden_pos,tb_redd_biden_neg,tb_redd_biden_neu,redd_time
07/29/2020,125963.0,47234.0,52626.0,26103.0,70105.0,31739.0,28626.0,9740.0,55858.0,15495.0,24000.0,16363.0,125963.0,69394.0,23141.0,33428.0,70105.0,38791.0,13945.0,17369.0,55858.0,30603.0,9196.0,16059.0,1201.711076,20256.0,8542.0,9010.0,2704.0,17182.0,7055.0,7878.0,2249.0,3074.0,1487.0,1132.0,455.0,20256.0,9998.0,6353.0,3905.0,17182.0,8368.0,5551.0,3263.0,3074.0,1630.0,802.0,642.0,705.630316
07/30/2020,111445.0,38621.0,54139.0,18685.0,70315.0,24738.0,34981.0,10596.0,41130.0,13883.0,19158.0,8089.0,111445.0,41664.0,19782.0,49999.0,70315.0,22292.0,11147.0,36876.0,41130.0,19372.0,8635.0,13123.0,1127.702081,25465.0,10295.0,11977.0,3193.0,22431.0,8903.0,10813.0,2715.0,3034.0,1392.0,1164.0,478.0,25465.0,12230.0,8140.0,5095.0,22431.0,10647.0,7350.0,4434.0,3034.0,1583.0,790.0,661.0,809.3133518999998
07/31/2020,121159.0,54865.0,45115.0,21179.0,72928.0,27226.0,30195.0,15507.0,48231.0,27639.0,14920.0,5672.0,121159.0,63264.0,21290.0,36605.0,72928.0,43920.0,8143.0,20865.0,48231.0,19344.0,13147.0,15740.0,1240.1796869999996,26219.0,10739.0,12123.0,3357.0,22845.0,9122.0,10887.0,2836.0,3374.0,1617.0,1236.0,521.0,26219.0,12839.0,8356.0,5024.0,22845.0,10990.0,7463.0,4392.0,3374.0,1849.0,893.0,632.0,813.9199831
08/01/2020,120315.0,39431.0,54932.0,25952.0,76524.0,17374.0,40213.0,18937.0,43791.0,22057.0,14719.0,7015.0,120315.0,62747.0,28829.0,28739.0,76524.0,42382.0,17863.0,16279.0,43791.0,20365.0,10966.0,12460.0,1110.5736949999996,26202.0,10675.0,12300.0,3227.0,23103.0,9244.0,11143.0,2716.0,3099.0,1431.0,1157.0,511.0,26202.0,12869.0,8389.0,4944.0,23103.0,11202.0,7593.0,4308.0,3099.0,1667.0,796.0,636.0,756.6240692000001
08/02/2020,132348.0,56302.0,50909.0,25137.0,79596.0,37344.0,31273.0,10979.0,52752.0,18958.0,19636.0,14158.0,132348.0,52720.0,23784.0,55844.0,79596.0,33615.0,12697.0,33284.0,52752.0,19105.0,11087.0,22560.0,1208.598424,24510.0,10135.0,11073.0,3302.0,21377.0,8709.0,9894.0,2774.0,3133.0,1426.0,1179.0,528.0,24510.0,11833.0,7728.0,4949.0,21377.0,10211.0,6933.0,4233.0,3133.0,1622.0,795.0,716.0,764.4482296
08/03/2020,132309.0,47015.0,59171.0,26123.0,74012.0,21721.0,42007.0,10284.0,58297.0,25294.0,17164.0,15839.0,132309.0,50839.0,38494.0,42976.0,74012.0,25528.0,26855.0,21629.0,58297.0,25311.0,11639.0,21347.0,1236.378459,27720.0,11463.0,12402.0,3855.0,23649.0,9463.0,10991.0,3195.0,4071.0,2000.0,1411.0,660.0,27720.0,13751.0,8198.0,5771.0,23649.0,11576.0,7163.0,4910.0,4071.0,2175.0,1035.0,861.0,828.9469261
08/04/2020,113748.0,39056.0,54561.0,20131.0,68095.0,18021.0,42365.0,7709.0,45653.0,21035.0,12196.0,12422.0,113748.0,46089.0,28083.0,39576.0,68095.0,31081.0,20583.0,16431.0,45653.0,15008.0,7500.0,23145.0,1126.8746210000004,31873.0,13307.0,14250.0,4316.0,28021.0,11469.0,12878.0,3674.0,3852.0,1838.0,1372.0,642.0,31873.0,15962.0,9716.0,6195.0,28021.0,13944.0,8703.0,5374.0,3852.0,2018.0,1013.0,821.0,907.1781116
08/05/2020,179960.0,56091.0,62146.0,61723.0,88214.0,26446.0,35461.0,26307.0,91746.0,29645.0,26685.0,35416.0,179960.0,64051.0,49809.0,66100.0,88214.0,36382.0,25374.0,26458.0,91746.0,27669.0,24435.0,39642.0,1537.66259,28952.0,12161.0,12614.0,4177.0,23627.0,9754.0,10653.0,3220.0,5325.0,2407.0,1961.0,957.0,28952.0,14173.0,8883.0,5896.0,23627.0,11444.0,7497.0,4686.0,5325.0,2729.0,1386.0,1210.0,846.7839239
08/06/2020,239317.0,52329.0,119047.0,67941.0,71010.0,24709.0,40267.0,6034.0,168307.0,27620.0,78780.0,61907.0,239317.0,80286.0,104342.0,54689.0,71010.0,27796.0,28483.0,14731.0,168307.0,52490.0,75859.0,39958.0,1968.647339,27062.0,11250.0,11810.0,4002.0,21808.0,8938.0,9840.0,3030.0,5254.0,2312.0,1970.0,972.0,27062.0,13090.0,8233.0,5739.0,21808.0,10413.0,6815.0,4580.0,5254.0,2677.0,1418.0,1159.0,812.3568738
08/07/2020,174161.0,87845.0,61810.0,24506.0,96016.0,58291.0,29125.0,8600.0,78145.0,29554.0,32685.0,15906.0,174161.0,85217.0,36572.0,52372.0,96016.0,56609.0,12605.0,26802.0,78145.0,28608.0,23967.0,25570.0,1578.9098250865936,29739.0,12381.0,13030.0,4328.0,24077.0,9926.0,10876.0,3275.0,5662.0,2455.0,2154.0,1053.0,29739.0,14456.0,8938.0,6345.0,24077.0,11607.0,7404.0,5066.0,5662.0,2849.0,1534.0,1279.0,840.6505191326141
08/08/2020,144548.0,60352.0,62460.0,21736.0,89302.0,42043.0,38721.0,8538.0,55246.0,18309.0,23739.0,13198.0,144548.0,51243.0,49987.0,43318.0,89302.0,33172.0,37990.0,18140.0,55246.0,18071.0,11997.0,25178.0,1477.0536437034607,28077.0,12173.0,12150.0,3754.0,23345.0,10010.0,10380.0,2955.0,4732.0,2163.0,1770.0,799.0,28077.0,13827.0,8743.0,5507.0,23345.0,11342.0,7500.0,4503.0,4732.0,2485.0,1243.0,1004.0,891.9683163166046
